movieID,title,genres,imdbID,director,cast,runtime,language,rating_imdb,country
25,Leaving Las Vegas (1995),Drama|Romance,113627,Mike Figgis,Nicolas Cage|Elisabeth Shue|Julian Sands|Richard Lewis|Steven Weber,111,English|Russian,7.5,France|United Kingdom|United States
26,Othello (1995),Drama,114057,Oliver Parker,Laurence Fishburne|Irène Jacob|Kenneth Branagh|Nathaniel Parker|Michael Maloney,123,English,6.9,United States|United Kingdom
27,Now and Then (1995),Drama,114011,,,,,,
28,Persuasion (1995),Romance,114117,,,,,,
30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Drama,115012,,,,,,
31,Dangerous Minds (1995),Drama,112792,John N. Smith,Michelle Pfeiffer|George Dzundza|Courtney B. Vance|Robin Bartlett|Beatrice Winde,99,English,6.5,United States
33,Wings of Courage (1995),Adventure|Romance,114952,Jean-Jacques Annaud,Craig Sheffer|Tom Hulce|Elizabeth McGovern|Val Kilmer|Ken Pogue,50,English,6.4,France|United States
34,Babe (1995),Children's|Comedy|Drama,112431,Chris Noonan,Christine Cavanaugh|Miriam Margolyes|Danny Mann|Hugo Weaving|Miriam Flynn,91,English,6.7,Australia|United States
35,Carrington (1995),Drama|Romance,112637,Christopher Hampton,Emma Thompson|Jonathan Pryce|Steven Waddington|Samuel West|Rufus Sewell,121,English,6.8,United Kingdom|France
36,Dead Man Walking (1995),Drama,112818,Tim Robbins,Susan Sarandon|Sean Penn|Robert Prosky|Raymond J. Barry|R. Lee Ermey,122,English,7.5,United Kingdom|United States
37,Across the Sea of Time (1995),Documentary,112286,Stephen Low,Peter Reznick|John McDonough|Avi Hoffman|Victor Steinbach|Peter Boyden,51,English|Russian,6.2,United States
38,It Takes Two (1995),Comedy,113442,Andy Tennant,Kirstie Alley|Steve Guttenberg|Mary-Kate Olsen|Ashley Olsen|Philip Bosco,101,English,5.8,United States
39,Clueless (1995),Comedy|Romance,112697,,,,,,
40,"Cry, the Beloved Country (1995)",Drama,112749,Darrell Roodt,James Earl Jones|Richard Harris|Vusi Kunene|Charles S. Dutton|Tsholofelo Wechoemang,106,English,6.8,South Africa|United States
41,Richard III (1995),Drama|War,114279,Richard Loncraine,Christopher Bowen|Edward Jewesbury|Ian McKellen|Bill Paterson|Annette Bening,110,English,7.4,United Kingdom|United States
42,Dead Presidents (1995),Action|Crime|Drama,112819,Albert Hughes|Allen Hughes,Larenz Tate|Keith David|Chris Tucker|Freddy Rodríguez|Rose Jackson,119,English,6.9,United States
43,Restoration (1995),Drama,114272,Michael Hoffman,Robert Downey Jr.|Sam Neill|David Thewlis|Polly Walker|Meg Ryan,117,English|Latin,6.6,United States|United Kingdom
44,Mortal Kombat (1995),Action|Adventure,113855,,,,,,
45,To Die For (1995),Comedy|Drama,114681,Gus Van Sant,Nicole Kidman|Matt Dillon|Joaquin Phoenix|Casey Affleck|Illeana Douglas,106,English,6.8,United States|United Kingdom|Canada
46,How to Make an American Quilt (1995),Drama|Romance,113347,Jocelyn Moorhouse,Kaelynn Craddick|Sara Craddick|Kate Capshaw|Adam Baldwin|Winona Ryder,117,English,6.3,United States
48,Pocahontas (1995),Animation|Children's|Musical|Romance,114148,Mike Gabriel|Eric Goldberg,Joe Baker|Christian Bale|Irene Bedard|Billy Connolly|James Apaumut Fall,81,English|Algonquin,6.7,United States
49,When Night Is Falling (1995),Drama|Romance,114916,Patricia Rozema,Pascale Bussières|Rachael Crawford|Henry Czerny|David Fox|Don McKellar,94,English,6.5,Canada
50,"Usual Suspects, The (1995)",Crime|Thriller,114814,Bryan Singer,Stephen Baldwin|Gabriel Byrne|Benicio Del Toro|Kevin Pollak|Kevin Spacey,106,English|Hungarian|Spanish|French,8.5,United States|Germany
51,Guardian Angel (1994),Action|Drama|Thriller,109950,Richard W. Munchkin,Cynthia Rothrock|Daniel McVicar|Lydie Denier|Marshall R. Teague|Ken McLeod,97,English,5.0,United States
52,Mighty Aphrodite (1995),Comedy,113819,Woody Allen,Pamela Blair|Rene Ceballos|Elie Chaib|George De La Pena|Joanne DiMauro,95,English|Latin,7.0,United States
53,Lamerica (1994),Drama,110299,Gianni Amelio,Enrico Lo Verso|Michele Placido|Piro Milkani|Carmelo Di Mazzarelli|Elida Janushi,116,Albanian|Italian,7.5,Italy|France|Switzerland|Austria
54,"Big Green, The (1995)",Children's|Comedy,112499,Holly Goldberg Sloan,Steve Guttenberg|Olivia d'Abo|Jay O. Sanders|John Terry|Chauncey Leopardi,100,English,5.6,United States
55,Georgia (1995),Drama,113158,Ulu Grosbard,Jennifer Jason Leigh|Mare Winningham|Ted Levine|Max Perlich|John Doe,115,English|Hebrew,6.6,United States|France
56,Kids of the Round Table (1995),Adventure|Children's|Fantasy,113541,Robert Tinnell,Johnny Morina|Maggie Castle|Christopher Olscamp|Justin Borntraeger|Billy Coyle,89,English,4.8,United States|Canada
57,Home for the Holidays (1995),Drama,113321,Jodie Foster,Holly Hunter|Robert Downey Jr.|Anne Bancroft|Charles Durning|Dylan McDermott,103,English,6.6,United States
60,"Indian in the Cupboard, The (1995)",Adventure|Children's|Fantasy,113419,Frank Oz,Hal Scardino|Litefoot|Lindsay Crouse|Richard Jenkins|Rishi Bhat,96,English,6.0,United States
61,Eye for an Eye (1996),Drama|Thriller,116260,John Schlesinger,Sally Field|Ed Harris|Olivia Burnette|Alexandra Kyle|Kiefer Sutherland,101,English|French|Spanish|Korean,6.2,United States
62,Mr. Holland's Opus (1995),Drama,113862,Stephen Herek,Richard Dreyfuss|Glenne Headly|Jay Thomas|Olympia Dukakis|William H. Macy,143,English|American Sign Language,7.3,United States
63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),Comedy,116126,,,,,,
64,Two if by Sea (1996),Comedy|Romance,118002,Bill Bennett,Denis Leary|Sandra Bullock|Stephen Dillane|Yaphet Kotto|Mike Starr,96,English,5.3,United States
65,Bio-Dome (1996),Comedy,115683,Jason Bloom,William Atherton|Denise Dowse|Dara Tomanovich|Kevin West|Kylie Minogue,88,English,4.4,United States
66,Lawnmower Man 2: Beyond Cyberspace (1996),Sci-Fi|Thriller,116839,Farhad Mann,Patrick Bergin|Matt Frewer|Austin O'Brien|Ely Pouget|Camille Cooper,93,English,2.5,United States
67,Two Bits (1995),Drama,114753,James Foley,Jerry Barone|Mary Elizabeth Mastrantonio|Al Pacino|Patrick Borriello|Andy Romano,85,English,6.2,United States
68,French Twist (Gazon maudit) (1995),Comedy|Romance,113149,Josiane Balasko,Victoria Abril|Josiane Balasko|Alain Chabat|Ticky Holgado|Catherine Hiegel,104,French|Spanish|English,6.4,France
69,Friday (1995),Comedy,113118,,,,,,
70,From Dusk Till Dawn (1996),Action|Comedy|Crime|Horror|Thriller,116367,,,,,,
71,Fair Game (1995),Action,113010,,,,,,
72,Kicking and Screaming (1995),Comedy|Drama,113537,Noah Baumbach,Josh Hamilton|Samuel Gould|Catherine Kellner|Jonathan Baumbach|John Lehr,96,English,6.9,United States
74,Bed of Roses (1996),Drama|Romance,115644,Michael Goldenberg,Christian Slater|Mary Stuart Masterson|Pamela Adlon|Josh Brolin|Brian Tarantina,87,English,6.1,United States
75,Big Bully (1996),Comedy|Drama,115676,Steve Miner,Rick Moranis|Tom Arnold|Julianne Phillips|Carol Kane|Jeffrey Tambor,90,English,4.7,United States
76,Screamers (1995),Sci-Fi|Thriller,114367,Christian Duguay,Peter Weller|Roy Dupuis|Jennifer Rubin|Andrew Lauer|Charles Edwin Powell,108,English,6.4,Canada
77,Nico Icon (1995),Documentary,113973,Susanne Ofteringer,Nico|Tina Aumont|Christian Päffgen|Edith Boulogne|Jackson Browne,70,English|German,7.2,Germany|United States
78,"Crossing Guard, The (1995)",Drama,112744,,,,,,
79,"Juror, The (1996)",Drama|Thriller,116731,Brian Gibson,Demi Moore|Alec Baldwin|Joseph Gordon-Levitt|James Gandolfini|Lindsay Crouse,118,English|Spanish,5.7,United States
82,Antonia's Line (Antonia) (1995),Drama,112379,,,,,,
83,Once Upon a Time... When We Were Colored (1995),Drama,114039,,,,,,
84,Last Summer in the Hamptons (1995),Comedy|Drama,113612,Henry Jaglom,Victoria Foyt|Viveca Lindfors|Jon Robin Baitz|Savannah Smith Boucher|Roscoe Lee Browne,108,English,5.6,United States
85,Angels and Insects (1995),Drama|Romance,112365,Philip Haas,Mark Rylance|Kristin Scott Thomas|Patsy Kensit|Jeremy Kemp|Douglas Henshall,116,English,6.8,United Kingdom|United States
86,White Squall (1996),Adventure|Drama,118158,,,,,,
87,Dunston Checks In (1996),Children's|Comedy,116151,,,,,,
88,Black Sheep (1996),Comedy,115697,,,,,,
89,Nick of Time (1995),Action|Thriller,113972,John Badham,Johnny Depp|Courtney Chase|Charles S. Dutton|Christopher Walken|Roma Maffia,90,English,6.3,United States
90,"Journey of August King, The (1995)",Drama,113490,John Duigan,Jason Patric|Thandie Newton|Larry Drake|Sam Waterston|Sarah-Jane Wylde,91,English,6.6,United States
92,Mary Reilly (1996),Drama|Thriller,117002,,,,,,
93,Vampire in Brooklyn (1995),Comedy|Romance,114825,Wes Craven,Eddie Murphy|Angela Bassett|Allen Payne|Kadeem Hardison|John Witherspoon,100,English,4.5,United States
94,Beautiful Girls (1996),Drama,115639,Ted Demme,Matt Dillon|Noah Emmerich|Annabeth Gish|Lauren Holly|Timothy Hutton,112,English,7.1,United States
95,Broken Arrow (1996),Action|Thriller,115759,John Woo,John Travolta|Christian Slater|Samantha Mathis|Delroy Lindo|Bob Gunton,108,English,6.0,United States
96,In the Bleak Midwinter (1995),Comedy,113403,Kenneth Branagh,Richard Briers|Hetta Charnley|Joan Collins|Nicholas Farrell|Mark Hadfield,99,English,7.2,United Kingdom
97,"Hate (Haine, La) (1995)",Drama,113247,,,,,,
98,Shopping (1994),Action|Thriller,111173,Paul W.S. Anderson,Sadie Frost|Jude Law|Sean Pertwee|Fraser James|Sean Bean,105,English,5.4,United Kingdom|Japan
99,Heidi Fleiss: Hollywood Madam (1995),Documentary,113283,Nick Broomfield,Nick Broomfield|Nina Xining Zuo|Madam Alex|Corinne Bohrer|Mike Brambles,106,English,6.5,United Kingdom|Germany|United States|Canada
100,City Hall (1996),Drama|Thriller,115907,Harold Becker,Al Pacino|John Cusack|Bridget Fonda|Danny Aiello|Martin Landau,111,English,6.2,United States
101,Bottle Rocket (1996),Comedy,115734,Wes Anderson,Luke Wilson|Owen Wilson|Ned Dowd|Shea Fowler|Haley Miller,91,English|Spanish,7.0,United States
102,Mr. Wrong (1996),Comedy,117102,,,,,,
103,Unforgettable (1996),Thriller,118040,John Dahl,Ray Liotta|Linda Fiorentino|Peter Coyote|Christopher McDonald|David Paymer,117,English|Spanish,6.0,United States
104,Happy Gilmore (1996),Comedy,116483,Dennis Dugan,Adam Sandler|Christopher McDonald|Julie Bowen|Frances Bay|Carl Weathers,92,English,7.0,United States
105,"Bridges of Madison County, The (1995)",Drama|Romance,112579,Clint Eastwood,Clint Eastwood|Meryl Streep|Annie Corley|Victor Slezak|Jim Haynie,135,English,7.6,United States
106,Nobody Loves Me (Keiner liebt mich) (1994),Comedy|Drama,110251,Doris Dörrie,Maria Schrader|Pierre Sanoussi-Bliss|Michael von Au|Elisabeth Trissenaar|Ingo Naujoks,104,German,7.2,Germany
107,Muppet Treasure Island (1996),Adventure|Children's|Comedy|Musical,117110,Brian Henson|David Lane,Tim Curry|Billy Connolly|Jennifer Saunders|Kevin Bishop|Dave Goelz,99,English,7.0,United States
109,Headless Body in Topless Bar (1995),Comedy,113276,James Bruce,Raymond J. Barry|Rustam Branaman|Jennifer MacDonald|Taylor Nichols|David Selby,110,English,5.1,United States
110,Braveheart (1995),Action|Drama|War,112573,Mel Gibson,James Robinson|Sean Lawlor|Sandy Nelson|James Cosmo|Sean McGinley,178,English|French|Latin|Scottish Gaelic|Italian,8.3,United States
111,Taxi Driver (1976),Drama|Thriller,75314,Martin Scorsese,Diahnne Abbott|Robinson Frank Adu|Victor Argo|Gino Ardito|Garth Avery,114,English|Spanish,8.3,United States
113,Before and After (1996),Drama|Mystery,115645,,,,,,
114,Margaret's Museum (1995),Drama,113774,,,,,,
116,Anne Frank Remembered (1995),Documentary,112373,,,,,,
117,"Young Poisoner's Handbook, The (1995)",Crime,115033,,,,,,
118,If Lucy Fell (1996),Comedy|Romance,116606,,,,,,
119,"Steal Big, Steal Little (1995)",Comedy,114536,,,,,,
120,Race the Sun (1996),Drama,117427,,,,,,
122,Boomerang (1992),Comedy|Romance,103859,,,,,,
124,"Star Maker, The (Uomo delle stelle, L') (1995)",Drama,114808,,,,,,
125,Flirting With Disaster (1996),Comedy,116324,,,,,,
126,"NeverEnding Story III, The (1994)",Adventure|Children's|Fantasy,110647,,,,,,
128,Jupiter's Wife (1994),Documentary,110217,,,,,,
130,Angela (1995),Drama,112364,,,,,,
131,Frankie Starlight (1995),Drama|Romance,113107,,,,,,
132,Jade (1995),Thriller,113451,William Friedkin,David Caruso|Linda Fiorentino|Chazz Palminteri|Richard Crenna|Michael Biehn,95,English,5.3,United States
133,Nueba Yol (1995),Comedy|Drama,114015,Ángel Muñiz,Luisito Martí|Caridad Ravelo|Raúl Carbonell|Rafael Villalona|Joel Garcia,106,Spanish|English,7.1,Dominican Republic
134,Sonic Outlaws (1995),Documentary,114500,Craig Baldwin,Lloyd Dunn|Chris Grigg|Mark Hosler|Don Joyce|Doug Kahn,87,English,7.2,United States
135,Down Periscope (1996),Comedy,116130,David S. Ward,Kelsey Grammer|Lauren Holly|Rob Schneider|Harry Dean Stanton|Bruce Dern,92,English,6.1,United States
136,From the Journals of Jean Seberg (1995),Documentary,113125,Mark Rappaport,Mary Beth Hurt|Jean Seberg,97,English,7.2,United States
137,Man of the Year (1995),Documentary,113756,,,,,,
138,"Neon Bible, The (1995)",Drama,113952,Terence Davies,Jacob Tierney|Drake Bell|Gena Rowlands|Diana Scarwid|Denis Leary,91,English,6.2,United Kingdom|Spain
139,Target (1995),Action|Drama,114618,Sandip Ray,Mohan Agashe|Barun Chakraborty|Champa|Gyanesh Mukherjee|Om Puri,122,Hindi|Bengali,7.7,India
140,Up Close and Personal (1996),Drama|Romance,118055,Jon Avnet,Robert Redford|Michelle Pfeiffer|Stockard Channing|Joe Mantegna|Kate Nelligan,124,English,6.2,United States
141,"Birdcage, The (1996)",Comedy,115685,,,,,,
142,Shadows (Cienie) (1988),Drama,94878,Jerzy Kaszubowski,Zygmunt Bielawski|Jerzy Binczycki|Mieczyslaw Janowski|Jerzy Kaszubowski|Andrzej Kowalik,97,Polish|English|German,6.5,Poland
143,Gospa (1995),Drama,113200,Jakov Sedlar,Martin Sheen|Michael York|Morgan Fairchild|Paul Guilfoyle|George Coe,125,Serbo-Croatian|Croatian|English,4.3,Croatia|Canada|United States
144,"Brothers McMullen, The (1995)",Comedy,112585,Edward Burns,Shari Albert|Maxine Bahns|Catharine Bolz|Connie Britton|Edward Burns,98,English,6.6,United States
145,Bad Boys (1995),Action,112442,Michael Bay,Lisa Boyle|Michael Taliferro|Emmanuel Xuereb|Tchéky Karyo|Marc Macaulay,119,English,6.9,United States
146,"Amazing Panda Adventure, The (1995)",Adventure|Children's,112342,Christopher Cain,Stephen Lang|Ryan Slater|Yi Ding|Wang Fei|Zhou Jian Zhong,84,English,5.8,United States
147,"Basketball Diaries, The (1995)",Drama,112461,,,,,,
148,"Awfully Big Adventure, An (1995)",Drama,112427,Mike Newell,Alan Rickman|Hugh Grant|Georgina Cates|Alun Armstrong|Peter Firth,112,English,6.0,United Kingdom
149,Amateur (1994),Crime|Drama|Thriller,109093,Hal Hartley,Isabelle Huppert|Martin Donovan|Elina Löwensohn|Damian Young|Chuck Montgomery,105,English,6.9,United States|United Kingdom|France
150,Apollo 13 (1995),Drama,112384,Ron Howard,Tom Hanks|Bill Paxton|Kevin Bacon|Gary Sinise|Ed Harris,140,English,7.6,United States
151,Rob Roy (1995),Drama|Romance|War,114287,Michael Caton-Jones,Liam Neeson|Jessica Lange|John Hurt|Tim Roth|Eric Stoltz,139,English,6.9,United Kingdom
152,"Addiction, The (1995)",Horror,112288,Abel Ferrara,Lili Taylor|Christopher Walken|Annabella Sciorra|Edie Falco|Paul Calderon,82,English,6.4,United States
153,Batman Forever (1995),Action|Adventure|Comedy|Crime,112462,Joel Schumacher,Val Kilmer|Tommy Lee Jones|Jim Carrey|Nicole Kidman|Chris O'Donnell,121,English,5.4,United States|United Kingdom
155,Beyond Rangoon (1995),Drama|War,112495,John Boorman,Patricia Arquette|U Aung Ko|Frances McDormand|Spalding Gray|Tiara Jacquelina,100,English,6.6,United Kingdom|United States
156,Blue in the Face (1995),Comedy,112541,,,,,,
158,Casper (1995),Adventure|Children's,112642,Brad Silberling,Chauncey Leopardi|Spencer Vrooman|Malachi Pearson|Cathy Moriarty|Eric Idle,100,English,6.1,United States
159,Clockers (1995),Drama,112688,Spike Lee,Harvey Keitel|John Turturro|Delroy Lindo|Mekhi Phifer|Isaiah Washington,128,English,6.9,United States
160,Congo (1995),Action|Adventure|Mystery|Sci-Fi,112715,,,,,,
161,Crimson Tide (1995),Drama|Thriller|War,112740,Tony Scott,Denzel Washington|Gene Hackman|Matt Craven|George Dzundza|Viggo Mortensen,116,English,7.3,United States
162,Crumb (1994),Documentary,109508,,,,,,
163,Desperado (1995),Action|Romance|Thriller,112851,,,,,,
164,Devil in a Blue Dress (1995),Crime|Film-Noir|Mystery|Thriller,112857,Carl Franklin,Denzel Washington|Tom Sizemore|Jennifer Beals|Don Cheadle|Maury Chaykin,102,English,6.7,United States
165,Die Hard: With a Vengeance (1995),Action|Thriller,112864,John McTiernan,Bruce Willis|Jeremy Irons|Samuel L. Jackson|Graham Greene|Colleen Camp,128,English|German|Romanian,7.6,United States
166,"Doom Generation, The (1995)",Comedy|Drama,112887,,,,,,
167,Feast of July (1995),Drama,113044,,,,,,
168,First Knight (1995),Action|Adventure|Drama|Romance,113071,Jerry Zucker,Sean Connery|Richard Gere|Julia Ormond|Ben Cross|Liam Cunningham,134,English,6.0,United States|United Kingdom
169,Free Willy 2: The Adventure Home (1995),Adventure|Children's|Drama,113114,,,,,,
170,Hackers (1995),Action|Crime|Thriller,113243,Iain Softley,Jonny Lee Miller|Angelina Jolie|Jesse Bradford|Matthew Lillard|Laurence Mason,107,English|Italian|Japanese|Russian,6.2,United States
171,Jeffrey (1995),Comedy,113464,,,,,,
172,Johnny Mnemonic (1995),Action|Sci-Fi|Thriller,113481,Robert Longo,Keanu Reeves|Dina Meyer|Ice-T|Takeshi Kitano|Denis Akiyama,96,English|Japanese,5.7,Canada|United States
173,Judge Dredd (1995),Action|Adventure|Sci-Fi,113492,Danny Cannon,Sylvester Stallone|Armand Assante|Rob Schneider|Jürgen Prochnow|Max von Sydow,96,English,5.6,United States
174,Jury Duty (1995),Comedy,113500,,,,,,
175,Kids (1995),Drama,113540,,,,,,
176,Living in Oblivion (1995),Comedy,113677,Tom DiCillo,Steve Buscemi|Catherine Keener|Dermot Mulroney|Danielle von Zerneck|James Le Gros,90,English,7.5,United States
177,Lord of Illusions (1995),Horror,113690,Clive Barker,Scott Bakula|J. Trevor Edmond|Daniel von Bargen|Kevin J. O'Connor|Joseph Latimore,109,English,6.1,United States
178,Love & Human Remains (1993),Comedy,107447,,,,,,
179,Mad Love (1995),Drama|Romance,113729,Antonia Bird,Chris O'Donnell|Drew Barrymore|Matthew Lillard|Richard Chaim|Robert Nadir,93,English,5.4,United States
180,Mallrats (1995),Comedy,113749,,,,,,
181,Mighty Morphin Power Rangers: The Movie (1995),Action|Children's,113820,Bryan Spicer,Karan Ashley|Johnny Yong Bosch|Steve Cardenas|Jason David Frank|Amy Jo Johnson,95,English,5.2,United States|Japan|Australia|New Zealand
182,Moonlight and Valentino (1995),Drama|Romance,113851,David Anspaugh,Elizabeth Perkins|Whoopi Goldberg|Shadia Simmons|Erica Luttrell|Matthew Koller,105,English,5.7,United Kingdom|United States
183,Mute Witness (1994),Thriller,110604,Anthony Waller,Marina Zudina|Fay Ripley|Evan Richards|Oleg Yankovskiy|Igor Volkov,95,English|Russian,6.7,Russia|Germany
184,Nadja (1994),Drama,110620,Michael Almereyda,Elina Löwensohn|Nic Ratner|Karl Geary|Peter Fonda|Martin Donovan,93,English,6.1,United States
185,"Net, The (1995)",Sci-Fi|Thriller,113957,Irwin Winkler,Sandra Bullock|Jeremy Northam|Dennis Miller|Diane Baker|Wendy Gazelle,114,English|Spanish,5.9,United States
186,Nine Months (1995),Comedy,113986,,,,,,
187,Party Girl (1995),Comedy,114095,Daisy von Scherler Mayer,Parker Posey|Anthony DeSando|Guillermo Díaz|Donna Mitchell|Liev Schreiber,94,English,6.6,United States
188,"Prophecy, The (1995)",Horror,114194,,,,,,
189,Reckless (1995),Comedy,114241,Norman René,Mia Farrow|Tony Goldwyn|Juana Barrios (Female Reporter R,91,English,5.4,United States
190,Safe (1995),Thriller,114323,Todd Haynes,Julianne Moore|Xander Berkeley|Dean Norris|Julie Burgess|Ronnie Farer,119,English|Spanish,7.2,United Kingdom|United States
191,"Scarlet Letter, The (1995)",Drama,114345,,,,,,
192,"Show, The (1995)",Documentary,114435,Brian Robbins,Afrika Bambaataa|Kurtis Blow|Sean 'Diddy' Combs|Dr. Dre|Andre Harrell,93,English,6.8,United States
193,Showgirls (1995),Drama,114436,,,,,,
194,Smoke (1995),Drama,114478,Wayne Wang,Giancarlo Esposito|José Zúñiga|Stephen Gevedon|Harvey Keitel|Jared Harris,112,English,7.4,Germany|Japan|United States
195,Something to Talk About (1995),Comedy|Drama|Romance,114496,Lasse Hallström,Julia Roberts|Dennis Quaid|Robert Duvall|Gena Rowlands|Kyra Sedgwick,106,English,5.7,United States
196,Species (1995),Horror|Sci-Fi,114508,Roger Donaldson,Ben Kingsley|Michael Madsen|Alfred Molina|Forest Whitaker|Marg Helgenberger,108,English,5.8,United States
197,"Stars Fell on Henrietta, The (1995)",Drama,114534,James Keach,Robert Duvall|Aidan Quinn|Frances Fisher|Brian Dennehy|Lexi Randall,109,English,6.6,United States
198,Strange Days (1995),Action|Crime|Sci-Fi,114558,Kathryn Bigelow,Ralph Fiennes|Angela Bassett|Juliette Lewis|Tom Sizemore|Michael Wincott,145,English,7.2,United States
199,"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964)",Drama|Musical,58450,Jacques Demy,Catherine Deneuve|Nino Castelnuovo|Anne Vernon|Marc Michel|Ellen Farner,91,French|English,7.8,France|West Germany
200,"Tie That Binds, The (1995)",Thriller,114666,Wesley Strick,Daryl Hannah|Keith Carradine|Moira Kelly|Vincent Spano|Julia Devin,99,English,5.0,United States
201,Three Wishes (1995),Drama,114663,,,,,,
202,Total Eclipse (1995),Drama|Romance,114702,Agnieszka Holland,Leonardo DiCaprio|David Thewlis|Romane Bohringer|Dominique Blanc|Félicie Pasotti,111,English,6.6,United Kingdom|France|Belgium
203,"To Wong Foo, Thanks for Everything! Julie Newmar (1995)",Comedy,114682,,,,,,
204,Under Siege 2: Dark Territory (1995),Action,114781,Geoff Murphy,Steven Seagal|Eric Bogosian|Everett McGill|Katherine Heigl|Morris Chestnut,100,English,5.5,United States
205,Unstrung Heroes (1995),Comedy|Drama,114798,Diane Keaton,Andie MacDowell|John Turturro|Michael Richards|Maury Chaykin|Nathan Watt,93,English,6.7,United States
206,Unzipped (1995),Documentary,114805,Douglas Keeve,Roseanne Barr|Sandra Bernhard|Robert Best|Natane Boudreau|Carla Bruni,73,English|French,6.5,United States
207,"Walk in the Clouds, A (1995)",Drama|Romance,114887,Alfonso Arau,Keanu Reeves|Aitana Sánchez-Gijón|Anthony Quinn|Giancarlo Giannini|Angélica Aragón,102,English,6.7,United States|Mexico
208,Waterworld (1995),Action|Adventure,114898,Kevin Reynolds,Kevin Costner|Chaim Jeraffi|Rick Aviles|R.D. Call|Zitto Kazann,135,English,6.2,United States
209,White Man's Burden (1995),Drama,114928,,,,,,
